word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/10/lemma/@_entry,word/10/lemma/@_POS,word/13/lemma/@_entry,word/13/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form
th\n,ὁ,article,kata\,sauto\n,σαυτοῦ,pronoun,e)/la,ἐλαύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κατά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=t',οὗτος,pronoun,a)i/wn,o(,ὁ,article,cei=nos,ξένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)fei/sato,ἐφίζω,verb,mei/zonos,oi)/kou,οἶκος,noun,dra/casqai,δράσσομαι,verb,pai/dwn,παῖς,adjective,klhdo/na,κληδών,noun,sunqe/menos,συντίθημι,verb,th\n,ὁ,article,d',δέ,particle,o)li/ghn,ὀλίγος,adjective,w(s,kei=nos,ἐκεῖνος,pronoun,e)s,εἰς,preposition,oi)ki/on,h)/geto,ἄγω,verb,nu/mfhn,νύμφη,noun,,,,μέγας,adverb,ὡς,conjunction,οἰκίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,kai\,su/,σύ,pronoun,g',γε,particle,i)w\n,εἶμι,verb,th\n,ὁ,article,kata\,κατά,preposition,sauto\n,σαυτοῦ,pronoun,e)/la,ἐλαύνω,verb,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cei=nos,ξένος,noun,*)atarnei/ths,tis,τις,pronoun,a)nei/reto,ἀνέρομαι,verb,*pittako\n,Πιττακός,adjective,ou(/tw,οὕτως,adverb,to\n,ὁ,article,*mutilhnai=on,Μυτιληναῖος,proper,pai=da,παῖς,adjective,to\n,ὁ,article,*(urra/dion,a)/tta,ἄττα,interjection,ge/ron,γέρων,noun,doio/s,me,ἐγώ,pronoun,kalei=,καλέω,verb,ga/mos,γάμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,mi/a,me\n,μέν,particle,dh\,δή,particle,nu/mfh,νύμφη,noun,kai\,καί,conjunction,plou/tw|,πλοῦτος,noun,kai\,καί,conjunction,geneh=|,γενεά,noun,kat',κατά,preposition,e)me/,h(,ὁ,article,d',δέ,particle,e(te/rh,probe/bhke,προβαίνω,verb,,,,,,,εἷς,adjective,ἐγώ,pronoun,ἕτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,lw/ion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λωίων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',a)/ge,ἄγε,adverb,su/m,,,moi,ἐγώ,pronoun,bou/leuson,βουλεύω,verb,pote/rhn,πότερος,adjective,ei)s,εἰς,preposition,u(me/naion,ὑμέναιος,noun,a)/gw,ἄγαμαι,verb,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de/,ski/pwna,σκίπων,noun,gerontiko\n,γεροντικός,adjective,o(/plon,ὅπλον,noun,a)ei/ras,ἀείρω,verb,h)ni/de,ἤν,interjection,kei=noi/,ἐκεῖνος,pronoun,soi,σύ,pronoun,pa=n,πᾶς,adjective,e)re/ousin,e)/pos,ἔπος,adjective,,,,,,,,,,,,,,δέ,particle,ἐρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',a)/r',ἄρα,particle,u(po\,ὑπό,preposition,plhgh=|si,πληγή,noun,qoa\s,θοός,adjective,be/mbikas,βέμβιξ,noun,e)/xontes,ἔχω,verb,e)/strefon,στρέφω,verb,eu)rei/h|,εὐρέιος,adjective,pai=des,e)ni\,ἐν,preposition,trio/dw|,τρίοδος,noun,,,,,,,,,,,δέ,particle,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei/nwn,ἐκεῖνος,pronoun,e)/rxeo,fhsi/,φημί,verb,met',μετά,preposition,i)/xnia,ἴχνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xw(,ὁ,article,me\n,e)pe/sth,ἐφίστημι,verb,plhsi/on,πλησίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',e)/legon,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,kata\,sauto\n,σαυτοῦ,pronoun,e)/la,ἐλαύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κατά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=t',οὗτος,pronoun,a)i/wn,o(,ὁ,article,cei=nos,ξένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)fei/sato,ἐφίζω,verb,mei/zonos,oi)/kou,οἶκος,noun,dra/casqai,δράσσομαι,verb,pai/dwn,παῖς,adjective,klhdo/na,κληδών,noun,sunqe/menos,συντίθημι,verb,th\n,ὁ,article,d',δέ,particle,o)li/ghn,ὀλίγος,adjective,w(s,kei=nos,ἐκεῖνος,pronoun,e)s,εἰς,preposition,oi)ki/on,h)/geto,ἄγω,verb,nu/mfhn,νύμφη,noun,,,,μέγας,adverb,ὡς,conjunction,οἰκίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,kai\,su/,σύ,pronoun,g',γε,particle,i)w\n,εἶμι,verb,th\n,ὁ,article,kata\,κατά,preposition,sauto\n,σαυτοῦ,pronoun,e)/la,ἐλαύνω,verb,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pe/,εἶπον,verb,tis,*(hra/kleite,Ἡράκλειτος,proper,teo\n,τεός,adjective,mo/ron,μόρον,noun,e)s,εἰς,preposition,de/,δέ,particle,me,ἐγώ,pronoun,da/kru,δάκρυον,noun,h)/gagen,ἄγω,verb,e)mnh/sqhn,d',δέ,particle,o(ssa/kis,,,a)mfo/teroi,h(/lion,ἥλιος,noun,e)n,ἐν,preposition,le/sxh|,λέσχη,noun,τις,pronoun,μιμνήσκω,verb,ἀμφότερος,adjective,katedu/samen,καταδύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,su\,me/n,μέν,particle,pou,πού,adverb,cei=n',ξένος,noun,*(alikarnhseu=,Ἁλικαρνασσεύς,proper,tetra/palai,τετράπαλαι,adverb,spodih/,σποδιά,noun,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,de\,teai\,τεός,adjective,zw/ousin,ζώω,verb,a)hdo/nes,ἀηδών,noun,h(=|sin,ἵημι,verb,o(,ὁ,article,pa/ntwn,πᾶς,adjective,a(rpakth\s,ἁρπακτής,noun,*)ai/dhs,Ἅιδης,proper,ou)k,e)pi\,ἐπί,preposition,xei=ra,χείρ,noun,balei=,,,,,,,,,,δέ,particle,οὐ,adverb,βάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pe/,εἶπον,verb,tis,*(hra/kleite,Ἡράκλειτος,proper,teo\n,τεός,adjective,mo/ron,μόρον,noun,e)s,εἰς,preposition,de/,δέ,particle,me,ἐγώ,pronoun,da/kru,δάκρυον,noun,h)/gagen,ἄγω,verb,e)mnh/sqhn,d',δέ,particle,o(ssa/kis,,,a)mfo/teroi,h(/lion,ἥλιος,noun,e)n,ἐν,preposition,le/sxh|,λέσχη,noun,τις,pronoun,μιμνήσκω,verb,ἀμφότερος,adjective,katedu/samen,καταδύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
